fr,en,it,de,es,ko,kana
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Critter.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.
Un réfrigérateur.\nlIl est équipé d'un étrange moteur.,It’s a refrigerator.\nlIt has an odd-shaped motor on it.,It’s a refrigerator.\nlIt has an odd-shaped motor on it.,It’s a refrigerator.\nlIt has an odd-shaped motor on it.,It’s a refrigerator.\nlIt has an odd-shaped motor on it.,It’s a refrigerator.\nlIt has an odd-shaped motor on it.,It’s a refrigerator.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
Rappeler,Recall,Recall,Recall,Recall,Recall,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Critter.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.
Un ventilateur.\nlIl est équipé d'un étrange moteur.,It’s a rotary fan.\nlIt has an odd-shaped motor on it.,It’s a rotary fan.\nlIt has an odd-shaped motor on it.,It’s a rotary fan.\nlIt has an odd-shaped motor on it.,It’s a rotary fan.\nlIt has an odd-shaped motor on it.,It’s a rotary fan.\nlIt has an odd-shaped motor on it.,It’s a rotary fan.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
Rappeler,Recall,Recall,Recall,Recall,Recall,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Critter.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.
Motisma a une remarquable aptitude à intégrer certains moteurs.,"Remarkably, Rotom has the ability to enter and merge with special motors.","Remarkably, Rotom has the ability to enter and merge with special motors.","Remarkably, Rotom has the ability to enter and merge with special motors.","Remarkably, Rotom has the ability to enter and merge with special motors.","Remarkably, Rotom has the ability to enter and merge with special motors.","Remarkably, Rotom has the ability to enter and merge with special motors."
Sa capacité à fusionner avec toutes sortes d'appareils est fascinante !,Fascinating how it can integrate all kinds of machines!,Fascinating how it can integrate all kinds of machines!,Fascinating how it can integrate all kinds of machines!,Fascinating how it can integrate all kinds of machines!,Fascinating how it can integrate all kinds of machines!,Fascinating how it can integrate all kinds of machines!
"Oh, mais je vois que tu en possèdes un !","Oh, I see you have one with you!","Oh, I see you have one with you!","Oh, I see you have one with you!","Oh, I see you have one with you!","Oh, I see you have one with you!","Oh, I see you have one with you!"
Il a même une forme spéciale !,It even has a special form!,It even has a special form!,It even has a special form!,It even has a special form!,It even has a special form!,It even has a special form!
Je vois que tu maîtrises tout ce qu'il y a à savoir sur ce merveilleux Critter qu'est Motisma.,It looks like you master everything there is to know about this wonderful Critter.,It looks like you master everything there is to know about this wonderful Critter.,It looks like you master everything there is to know about this wonderful Critter.,It looks like you master everything there is to know about this wonderful Critter.,It looks like you master everything there is to know about this wonderful Critter.,It looks like you master everything there is to know about this wonderful Critter.
Tu devrais aller jeter un œil aux machines situées derrière moi !,You should take a look at the devices behind me!,You should take a look at the devices behind me!,You should take a look at the devices behind me!,You should take a look at the devices behind me!,You should take a look at the devices behind me!,You should take a look at the devices behind me!
J'ai entendu dire qu'on pouvait en trouver dans un débarras situé au sous-sol de la Tour...,I heard you could find one in a storage room located under the Tower...,I heard you could find one in a storage room located under the Tower...,I heard you could find one in a storage room located under the Tower...,I heard you could find one in a storage room located under the Tower...,I heard you could find one in a storage room located under the Tower...,I heard you could find one in a storage room located under the Tower...
Mais comment y accéder ?,But I don't know how to get there...,But I don't know how to get there...,But I don't know how to get there...,But I don't know how to get there...,But I don't know how to get there...,But I don't know how to get there...
Je suis un grand fan de Porygon et de toute sa famille !,I'm a big fan of Porygon and its family!,I'm a big fan of Porygon and its family!,I'm a big fan of Porygon and its family!,I'm a big fan of Porygon and its family!,I'm a big fan of Porygon and its family!,I'm a big fan of Porygon and its family!
J'ai même entendu dire qu'ils préféraient être stockés dans le PC que de rester avec leur Dresseur...,I heard they sometimes prefered to be kept in the Storage System rather than with their Trainer...,I heard they sometimes prefered to be kept in the Storage System rather than with their Trainer...,I heard they sometimes prefered to be kept in the Storage System rather than with their Trainer...,I heard they sometimes prefered to be kept in the Storage System rather than with their Trainer...,I heard they sometimes prefered to be kept in the Storage System rather than with their Trainer...,I heard they sometimes prefered to be kept in the Storage System rather than with their Trainer...
"Tu as un Porygon ou un Critter de sa famille dans ton PC, toi ?\nlJe peux le vérifier avec \c[5]""$storage.any_pokemon?""\c[0].","Do you have a Porygon or one of its evolution in your PC?\nlI can check with \c[5]""$storage.any_pokemon?""\c[0].","Do you have a Porygon or one of its evolution in your PC?\nlI can check with \c[5]""$storage.any_pokemon?""\c[0].","Do you have a Porygon or one of its evolution in your PC?\nlI can check with \c[5]""$storage.any_pokemon?""\c[0].","Do you have a Porygon or one of its evolution in your PC?\nlI can check with \c[5]""$storage.any_pokemon?""\c[0].","Do you have a Porygon or one of its evolution in your PC?\nlI can check with \c[5]""$storage.any_pokemon?""\c[0].","Do you have a Porygon or one of its evolution in your PC?\nlI can check with \c[5]""$storage.any_pokemon?""\c[0]."
Super ! Il doit s'y sentir super bien.,Amazing! It must feel at ease.,Amazing! It must feel at ease.,Amazing! It must feel at ease.,Amazing! It must feel at ease.,Amazing! It must feel at ease.,Amazing! It must feel at ease.
Hmm... Dommage.,Hmm... Too bad.,Hmm... Too bad.,Hmm... Too bad.,Hmm... Too bad.,Hmm... Too bad.,Hmm... Too bad.
Je suis un fou des Critter chromatiques !,I'm a Shinies fanatic!,I'm a Shinies fanatic!,I'm a Shinies fanatic!,I'm a Shinies fanatic!,I'm a Shinies fanatic!,I'm a Shinies fanatic!
"Tu sais, ce sont ces Critter qui ont une couleur inhabituelle.","You know, shiny Critter have an unusual coloration.","You know, shiny Critter have an unusual coloration.","You know, shiny Critter have an unusual coloration.","You know, shiny Critter have an unusual coloration.","You know, shiny Critter have an unusual coloration.","You know, shiny Critter have an unusual coloration."
Tu en as déjà attrapé un ?,Have you ever caught one?,Have you ever caught one?,Have you ever caught one?,Have you ever caught one?,Have you ever caught one?,Have you ever caught one?
Oh ! Magnifique !\nlTon [POKE] est si beau !,Oh! Splendid!\nlYour [POKE] is breathtaking!,Oh! Splendid!\nlYour [POKE] is breathtaking!,Oh! Splendid!\nlYour [POKE] is breathtaking!,Oh! Splendid!\nlYour [POKE] is breathtaking!,Oh! Splendid!\nlYour [POKE] is breathtaking!,Oh! Splendid!\nlYour [POKE] is breathtaking!
Dis...[WAIT 60] Tu ne voudrais pas me le donner ?,Look...[WAIT 60] Would you give it to me?,Look...[WAIT 60] Would you give it to me?,Look...[WAIT 60] Would you give it to me?,Look...[WAIT 60] Would you give it to me?,Look...[WAIT 60] Would you give it to me?,Look...[WAIT 60] Would you give it to me?
...,...,...,...,...,...,...
Non ?,No?,No?,No?,No?,No?,No?
Tant pis...,Too bad...,Too bad...,Too bad...,Too bad...,Too bad...,Too bad...
"Hum... Je m'y connais très bien en Critter chromatiques, et ton [POKE] n'en est pas un.",Hmm... I know a lot about shiny Critter and your [POKE] isn't one of them.,Hmm... I know a lot about shiny Critter and your [POKE] isn't one of them.,Hmm... I know a lot about shiny Critter and your [POKE] isn't one of them.,Hmm... I know a lot about shiny Critter and your [POKE] isn't one of them.,Hmm... I know a lot about shiny Critter and your [POKE] isn't one of them.,Hmm... I know a lot about shiny Critter and your [POKE] isn't one of them.
"Ce sont des Critter très rares à trouver, en effet...","These Critter are quite rare, indeed...","These Critter are quite rare, indeed...","These Critter are quite rare, indeed...","These Critter are quite rare, indeed...","These Critter are quite rare, indeed...","These Critter are quite rare, indeed..."
"D'ailleurs, j'ai découvert une technique intéressante pour en débusquer plus facilement.","Speaking of which, I discovered a very interesting technic to flush them out easily.","Speaking of which, I discovered a very interesting technic to flush them out easily.","Speaking of which, I discovered a very interesting technic to flush them out easily.","Speaking of which, I discovered a very interesting technic to flush them out easily.","Speaking of which, I discovered a very interesting technic to flush them out easily.","Speaking of which, I discovered a very interesting technic to flush them out easily."
"Si tu pêches des Critter à la chaîne, sans bouger de ton spot, les chances de ferrer un Critter chromatique augmentent progressivement.","If you chain-fish Critter, without moving from your spot, chances to catch a shiny Critter will progressively increase.","If you chain-fish Critter, without moving from your spot, chances to catch a shiny Critter will progressively increase.","If you chain-fish Critter, without moving from your spot, chances to catch a shiny Critter will progressively increase.","If you chain-fish Critter, without moving from your spot, chances to catch a shiny Critter will progressively increase.","If you chain-fish Critter, without moving from your spot, chances to catch a shiny Critter will progressively increase.","If you chain-fish Critter, without moving from your spot, chances to catch a shiny Critter will progressively increase."
"Alors, comment se passe la complétion de ton Pokédex ?:[name=Prof. Seko]:","So, how’s your Pokédex coming along?:[name=Professor Birch]:","So, how’s your Pokédex coming along?:[name=Professor Birch]:","So, how’s your Pokédex coming along?:[name=Professor Birch]:","So, how’s your Pokédex coming along?:[name=Professor Birch]:","So, how’s your Pokédex coming along?:[name=Professor Birch]:","So, how’s your Pokédex coming along?:[name=Professor Birch]:"
Je peux facilement vérifier le nombre de Critter vus ou attrapés grâce aux \c[5]variables 2 et 3\c[0].:[name=Prof. Seko]:,I can easily check the number of Critter you've seen or caught with the \c[5]variables 2 and 3\c[0].:[name=Professor Birch]:,I can easily check the number of Critter you've seen or caught with the \c[5]variables 2 and 3\c[0].:[name=Professor Birch]:,I can easily check the number of Critter you've seen or caught with the \c[5]variables 2 and 3\c[0].:[name=Professor Birch]:,I can easily check the number of Critter you've seen or caught with the \c[5]variables 2 and 3\c[0].:[name=Professor Birch]:,I can easily check the number of Critter you've seen or caught with the \c[5]variables 2 and 3\c[0].:[name=Professor Birch]:,I can easily check the number of Critter you've seen or caught with the \c[5]variables 2 and 3\c[0].:[name=Professor Birch]:
"Hm, voyons voir...\nlTu as vu \v[2] Critter et tu en as capturé \v[3] !:[name=Prof. Seko]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:"
Incroyable ! Tu as vu plus de 40 Critter différents sur l'Île ![WAIT 400]:[name=Prof. Seko]:,Excellent! You've seen more than 40 Critter on the Island![WAIT 400]:[name=Professor Birch]:,Excellent! You've seen more than 40 Critter on the Island![WAIT 400]:[name=Professor Birch]:,Excellent! You've seen more than 40 Critter on the Island![WAIT 400]:[name=Professor Birch]:,Excellent! You've seen more than 40 Critter on the Island![WAIT 400]:[name=Professor Birch]:,Excellent! You've seen more than 40 Critter on the Island![WAIT 400]:[name=Professor Birch]:,Excellent! You've seen more than 40 Critter on the Island![WAIT 400]:[name=Professor Birch]:
Tu as un talent certain pour débusquer des Critter !:[name=Prof. Seko]:,You seem to be good at collecting Critter!:[name=Professor Birch]:,You seem to be good at collecting Critter!:[name=Professor Birch]:,You seem to be good at collecting Critter!:[name=Professor Birch]:,You seem to be good at collecting Critter!:[name=Professor Birch]:,You seem to be good at collecting Critter!:[name=Professor Birch]:,You seem to be good at collecting Critter!:[name=Professor Birch]:
"Comme promis, je te remets ma Pierre Insolite.:[name=Prof. Seko]:","As promised, here's my Intriguing Stone.:[name=Professor Birch]:","As promised, here's my Intriguing Stone.:[name=Professor Birch]:","As promised, here's my Intriguing Stone.:[name=Professor Birch]:","As promised, here's my Intriguing Stone.:[name=Professor Birch]:","As promised, here's my Intriguing Stone.:[name=Professor Birch]:","As promised, here's my Intriguing Stone.:[name=Professor Birch]:"
"Tu me serais d'une aide certaine dans ma région natale, à Hoenn...:[name=Prof. Seko]:","You'd help me a lot in my home region, in Hoenn...:[name=Professor Birch]:","You'd help me a lot in my home region, in Hoenn...:[name=Professor Birch]:","You'd help me a lot in my home region, in Hoenn...:[name=Professor Birch]:","You'd help me a lot in my home region, in Hoenn...:[name=Professor Birch]:","You'd help me a lot in my home region, in Hoenn...:[name=Professor Birch]:","You'd help me a lot in my home region, in Hoenn...:[name=Professor Birch]:"
Tu as de plus en plus de Critter enregistrés ! Continue comme ça ![WAIT 200]:[name=Prof. Seko]:,Your Pokédex is really filling up. Keep up the good work![WAIT 200]:[name=Professor Birch]:,Your Pokédex is really filling up. Keep up the good work![WAIT 200]:[name=Professor Birch]:,Your Pokédex is really filling up. Keep up the good work![WAIT 200]:[name=Professor Birch]:,Your Pokédex is really filling up. Keep up the good work![WAIT 200]:[name=Professor Birch]:,Your Pokédex is really filling up. Keep up the good work![WAIT 200]:[name=Professor Birch]:,Your Pokédex is really filling up. Keep up the good work![WAIT 200]:[name=Professor Birch]:
"Quand tu auras vu plus de 40 Critter différents, je t'offrirai une Pierre Insolite !:[name=Prof. Seko]:","When you've seen at least 40 different Critter, I'll give you an Intriguing Stone!:[name=Professor Birch]:","When you've seen at least 40 different Critter, I'll give you an Intriguing Stone!:[name=Professor Birch]:","When you've seen at least 40 different Critter, I'll give you an Intriguing Stone!:[name=Professor Birch]:","When you've seen at least 40 different Critter, I'll give you an Intriguing Stone!:[name=Professor Birch]:","When you've seen at least 40 different Critter, I'll give you an Intriguing Stone!:[name=Professor Birch]:","When you've seen at least 40 different Critter, I'll give you an Intriguing Stone!:[name=Professor Birch]:"
Tu ne manques pas de ressources ! Tu m'impressionnes vraiment ![WAIT 240]:[name=Prof. Seko]:,"Wow, you've gotten so far...! I've got high expectations for you![WAIT 240]:[name=Professor Birch]:","Wow, you've gotten so far...! I've got high expectations for you![WAIT 240]:[name=Professor Birch]:","Wow, you've gotten so far...! I've got high expectations for you![WAIT 240]:[name=Professor Birch]:","Wow, you've gotten so far...! I've got high expectations for you![WAIT 240]:[name=Professor Birch]:","Wow, you've gotten so far...! I've got high expectations for you![WAIT 240]:[name=Professor Birch]:","Wow, you've gotten so far...! I've got high expectations for you![WAIT 240]:[name=Professor Birch]:"
Certaines espèces de Critter seront plus faciles à rencontrer en combattant des Dresseurs !:[name=Prof. Seko]:,"Don't forget some Trainers have rare Critter, too!:[name=Professor Birch]:","Don't forget some Trainers have rare Critter, too!:[name=Professor Birch]:","Don't forget some Trainers have rare Critter, too!:[name=Professor Birch]:","Don't forget some Trainers have rare Critter, too!:[name=Professor Birch]:","Don't forget some Trainers have rare Critter, too!:[name=Professor Birch]:","Don't forget some Trainers have rare Critter, too!:[name=Professor Birch]:"
"Ah, tu progresses bien ! Ton Pokédex prend une bonne tournure ![WAIT 240]:[name=Prof. Seko]:",You're getting good at this! Your Pokédex is coming together![WAIT 240]:[name=Professor Birch]:,You're getting good at this! Your Pokédex is coming together![WAIT 240]:[name=Professor Birch]:,You're getting good at this! Your Pokédex is coming together![WAIT 240]:[name=Professor Birch]:,You're getting good at this! Your Pokédex is coming together![WAIT 240]:[name=Professor Birch]:,You're getting good at this! Your Pokédex is coming together![WAIT 240]:[name=Professor Birch]:,You're getting good at this! Your Pokédex is coming together![WAIT 240]:[name=Professor Birch]:
"N'oublie pas que certaines espèces de Critter peuvent évoluer, mais aussi faire des Œufs !:[name=Prof. Seko]:","You know some Critter can evolve, but also lay Eggs!:[name=Professor Birch]:","You know some Critter can evolve, but also lay Eggs!:[name=Professor Birch]:","You know some Critter can evolve, but also lay Eggs!:[name=Professor Birch]:","You know some Critter can evolve, but also lay Eggs!:[name=Professor Birch]:","You know some Critter can evolve, but also lay Eggs!:[name=Professor Birch]:","You know some Critter can evolve, but also lay Eggs!:[name=Professor Birch]:"
Essaie de marcher dans les hautes herbes pour rencontrer des Critter ![WAIT 200]:[name=Prof. Seko]:,Look for Critter in grassy areas![WAIT 200]:[name=Professor Birch]:,Look for Critter in grassy areas![WAIT 200]:[name=Professor Birch]:,Look for Critter in grassy areas![WAIT 200]:[name=Professor Birch]:,Look for Critter in grassy areas![WAIT 200]:[name=Professor Birch]:,Look for Critter in grassy areas![WAIT 200]:[name=Professor Birch]:,Look for Critter in grassy areas![WAIT 200]:[name=Professor Birch]:
"L'Île regorge d'environnements variés, tu pourras rencontrer des tonnes d'espèces de Critter.:[name=Prof. Seko]:","The Island is filled with a variety of environments, you'll encounter tons of Critter species.:[name=Professor Birch]:","The Island is filled with a variety of environments, you'll encounter tons of Critter species.:[name=Professor Birch]:","The Island is filled with a variety of environments, you'll encounter tons of Critter species.:[name=Professor Birch]:","The Island is filled with a variety of environments, you'll encounter tons of Critter species.:[name=Professor Birch]:","The Island is filled with a variety of environments, you'll encounter tons of Critter species.:[name=Professor Birch]:","The Island is filled with a variety of environments, you'll encounter tons of Critter species.:[name=Professor Birch]:"
Tu veux que j'évalue à nouveau ton Pokédex ?:[name=Prof. Seko]:,Do you want to show me your Pokédex again?:[name=Professor Birch]:,Do you want to show me your Pokédex again?:[name=Professor Birch]:,Do you want to show me your Pokédex again?:[name=Professor Birch]:,Do you want to show me your Pokédex again?:[name=Professor Birch]:,Do you want to show me your Pokédex again?:[name=Professor Birch]:,Do you want to show me your Pokédex again?:[name=Professor Birch]:
"Hm, voyons voir...\nlTu as vu \v[2] Critter et tu en as capturé \v[3] !:[name=Prof. Seko]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:","Hmm, let's see...\nlYou've seen \v[2] Critter, and you've caught \v[3] Critter!:[name=Professor Birch]:"
"Découvrir de nouveaux Critter devient plus compliqué, n'est-ce pas ?[WAIT 200]:[name=Prof. Seko]:","Discovering new Critter is getting harder, isn't it?[WAIT 200]:[name=Professor Birch]:","Discovering new Critter is getting harder, isn't it?[WAIT 200]:[name=Professor Birch]:","Discovering new Critter is getting harder, isn't it?[WAIT 200]:[name=Professor Birch]:","Discovering new Critter is getting harder, isn't it?[WAIT 200]:[name=Professor Birch]:","Discovering new Critter is getting harder, isn't it?[WAIT 200]:[name=Professor Birch]:","Discovering new Critter is getting harder, isn't it?[WAIT 200]:[name=Professor Birch]:"
Tu as décidément un don ! Je suis impressionné ![WAIT 200]:[name=Prof. Seko]:,You definitely have a gift! I'm actually impressed![WAIT 200]:[name=Professor Birch]:,You definitely have a gift! I'm actually impressed![WAIT 200]:[name=Professor Birch]:,You definitely have a gift! I'm actually impressed![WAIT 200]:[name=Professor Birch]:,You definitely have a gift! I'm actually impressed![WAIT 200]:[name=Professor Birch]:,You definitely have a gift! I'm actually impressed![WAIT 200]:[name=Professor Birch]:,You definitely have a gift! I'm actually impressed![WAIT 200]:[name=Professor Birch]:
C'est tout bonnement hallucinant ! Tu les as TOUS vus ![WAIT 400]:[name=Prof. Seko]:,It's simply mind-boggling! You've seen the ALL![WAIT 400]:[name=Professor Birch]:,It's simply mind-boggling! You've seen the ALL![WAIT 400]:[name=Professor Birch]:,It's simply mind-boggling! You've seen the ALL![WAIT 400]:[name=Professor Birch]:,It's simply mind-boggling! You've seen the ALL![WAIT 400]:[name=Professor Birch]:,It's simply mind-boggling! You've seen the ALL![WAIT 400]:[name=Professor Birch]:,It's simply mind-boggling! You've seen the ALL![WAIT 400]:[name=Professor Birch]:
Je n'arrive même pas à comprendre comment tu as pu faire...:[name=Prof. Seko]:,I don't even understand how you made it...:[name=Professor Birch]:,I don't even understand how you made it...:[name=Professor Birch]:,I don't even understand how you made it...:[name=Professor Birch]:,I don't even understand how you made it...:[name=Professor Birch]:,I don't even understand how you made it...:[name=Professor Birch]:,I don't even understand how you made it...:[name=Professor Birch]:
J'en viens presque à espérer que tu as triché...:[name=Prof. Seko]:,It almost makes me think you've cheated...:[name=Professor Birch]:,It almost makes me think you've cheated...:[name=Professor Birch]:,It almost makes me think you've cheated...:[name=Professor Birch]:,It almost makes me think you've cheated...:[name=Professor Birch]:,It almost makes me think you've cheated...:[name=Professor Birch]:,It almost makes me think you've cheated...:[name=Professor Birch]:
Tu as vu tous les Critter de l'Île...:[name=Prof. Seko]:,You've seen all the Critter on the Island...:[name=Professor Birch]:,You've seen all the Critter on the Island...:[name=Professor Birch]:,You've seen all the Critter on the Island...:[name=Professor Birch]:,You've seen all the Critter on the Island...:[name=Professor Birch]:,You've seen all the Critter on the Island...:[name=Professor Birch]:,You've seen all the Critter on the Island...:[name=Professor Birch]:
Je n'ai vraiment plus rien à t'apprendre !:[name=Prof. Seko]:,I've got nothing to teach you anymore!:[name=Professor Birch]:,I've got nothing to teach you anymore!:[name=Professor Birch]:,I've got nothing to teach you anymore!:[name=Professor Birch]:,I've got nothing to teach you anymore!:[name=Professor Birch]:,I've got nothing to teach you anymore!:[name=Professor Birch]:,I've got nothing to teach you anymore!:[name=Professor Birch]:
